[BOUNCE] ball1 f24 dist=246.6 seg=159 gap=0 pen=0.6 vel=(-5.4,4.2) nx=-0.94 ny=0.35
sketch.js:233 [AFTER-BOUNCE] ball1 f24 pos=(NaN,NaN) vel=(6.4,-0.2)
sketch.js:200 [NaN-UPDATE] ball1 f25 pos=(NaN,NaN) vel=(6.371433325268001,-0.21455315762819804)
sketch.js:200 [NaN-UPDATE] ball1 f26 pos=(NaN,NaN) vel=(6.371433325268001,-0.21455315762819804)
sketch.js:200 [NaN-UPDATE] ball1 f27 pos=(NaN,NaN) vel=(6.371433325268001,-0.21455315762819804)
sketch.js:200 [NaN-UPDATE] ball1 f28 pos=(NaN,NaN) vel=(6.371433325268001,-0.21455315762819804)
sketch.js:200 [NaN-UPDATE] ball1 f29 pos=(NaN,NaN) vel=(6.371433325268001,-0.21455315762819804)
sketch.js:200 [NaN-UPDATE] ball1 f30 pos=(NaN,NaN) vel=(6.371433325268001,-0.21455315762819804)
sketch.js:200 [NaN-UPDATE] ball1 f31 pos=(NaN,NaN) vel=(6.371433325268001,-0.21455315762819804)
sketch.js:200 [NaN-UPDATE] ball1 f32 pos=(NaN,NaN) vel=(6.371433325268001,-0.21455315762819804)
sketch.js:139 [BOUNCE] ball0 f33 dist=248.1 seg=0 gap=0 pen=2.1 vel=(7.4,0.9) nx=1.00 ny=0.00
sketch.js:233 [AFTER-BOUNCE] ball0 f33 pos=(NaN,NaN) vel=(-6.8,0.9)
sketch.js:200 [NaN-UPDATE] ball1 f33 pos=(NaN,NaN) vel=(6.371433325268001,-0.21455315762819804)
sketch.js:200 [NaN-UPDATE] ball0 f34 pos=(NaN,NaN) vel=(-6.791293442040036,0.9059370677051234)
sketch.js:200 [NaN-UPDATE] ball1 f34 pos=(NaN,NaN) vel=(6.371433325268001,-0.21455315762819804)
sketch.js:200 [NaN-UPDATE] ball0 f35 pos=(NaN,NaN) vel=(-6.791293442040036,0.9059370677051234)
sketch.js:200 [NaN-UPDATE] ball1 f35 pos=(NaN,NaN) vel=(6.371433325268001,-0.21455315762819804)
sketch.js:200 [NaN-UPDATE] ball0 f36 pos=(NaN,NaN) vel=(-6.791293442040036,0.9059370677051234)
sketch.js:200 [NaN-UPDATE] ball1 f36 pos=(NaN,NaN) vel=(6.371433325268001,-0.21455315762819804)
sketch.js:200 [NaN-UPDATE] ball0 f37 pos=(NaN,NaN) vel=(-6.791293442040036,0.9059370677051234)
sketch.js:200 [NaN-UPDATE] ball1 f37 pos=(NaN,NaN) vel=(6.371433325268001,-0.21455315762819804)
sketch.js:200 [NaN-UPDATE] ball0 f38 pos=(NaN,NaN) vel=(-6.791293442040036,0.9059370677051234)
sketch.js:200 [NaN-UPDATE] ball1 f38 pos=(NaN,NaN) vel=(6.371433325268001,-0.21455315762819804)
sketch.js:200 [NaN-UPDATE] ball0 f39 pos=(NaN,NaN) vel=(-6.791293442040036,0.9059370677051234)
sketch.js:200 [NaN-UPDATE] ball1 f39 pos=(NaN,NaN) vel=(6.371433325268001,-0.21455315762819804)
sketch.js:200 [NaN-UPDATE] ball0 f40 pos=(NaN,NaN) vel=(-6.791293442040036,0.9059370677051234)
sketch.js:200 [NaN-UPDATE] ball1 f40 pos=(NaN,NaN) vel=(6.371433325268001,-0.21455315762819804)
sketch.js:200 [NaN-UPDATE] ball0 f41 pos=(NaN,NaN) vel=(-6.791293442040036,0.9059370677051234)
sketch.js:200 [NaN-UPDATE] ball1 f41 pos=(NaN,NaN) vel=(6.371433325268001,-0.21455315762819804)
sketch.js:200 [NaN-UPDATE] ball0 f42 pos=(NaN,NaN) vel=(-6.791293442040036,0.9059370677051234)
sketch.js:200 [NaN-UPDATE] ball1 f42 pos=(NaN,NaN) vel=(6.371433325268001,-0.21455315762819804)
sketch.js:200 [NaN-UPDATE] ball0 f43 pos=(NaN,NaN) vel=(-6.791293442040036,0.9059370677051234)
sketch.js:200 [NaN-UPDATE] ball1 f43 pos=(NaN,NaN) vel=(6.371433325268001,-0.21455315762819804)
sketch.js:200 [NaN-UPDATE] ball0 f44 pos=(NaN,NaN) vel=(-6.791293442040036,0.9059370677051234)
